,tokens,ner_tags,langs,spans
10,"['WEITERLEITUNG', 'Zwjazkowa', 'awtodróha', '4']","[0, 3, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb']",['ORG: Zwjazkowa awtodróha 4']
11,"['Křesćanski', 'zwjazk', 'młodych', 'mužow']","[3, 4, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb']",['ORG: Křesćanski zwjazk młodych mužow']
12,"['bjezfrakcijny', '(', 'prjedy', 'Lěwica', ')']","[0, 0, 0, 3, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Lěwica']
13,"['WEITERLEITUNG', 'Zinaida', 'Nikolajewna', 'Gippius']","[0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']",['PER: Zinaida Nikolajewna Gippius']
14,"['Němska', 'narodna', 'biblioteka']","[3, 4, 4]","['hsb', 'hsb', 'hsb']",['ORG: Němska narodna biblioteka']
15,"['Jakub', 'Bart-Ćišinski', '(', '1856–1909', ')']","[1, 2, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Jakub Bart-Ćišinski']
16,"['Sawany', 'namakamy', 'pak', 'tež', 'w', 'Indiskej', ',', 'Južnej', 'Americe', 'a', 'Awstralskej', '.']","[0, 0, 0, 0, 0, 5, 0, 5, 6, 0, 5, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: Indiskej', 'LOC: Južnej Americe', 'LOC: Awstralskej']"
17,"['Jan', 'Ignacy', 'Niecisław', 'Baudouin', 'de', 'Courtenay']","[1, 2, 2, 2, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Jan Ignacy Niecisław Baudouin de Courtenay']
18,"['Leži', 'dwanaće', 'kilometrow', 'sewjerowuchodnje', 'Kamjenicy', 'při', 'Sapawje', 'a', 'zwjazkowej', 'awtodróze', '4', '.']","[0, 0, 0, 0, 5, 0, 5, 0, 3, 4, 4, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: Kamjenicy', 'LOC: Sapawje', 'ORG: zwjazkowej awtodróze 4']"
19,"['WEITERLEITUNG', 'Ludowa', 'republika', 'Luhansk']","[0, 3, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb']",['ORG: Ludowa republika Luhansk']
20,"['Tež', 'Tachantska', 'cyrkej', 'je', 'hódna', 'wobhladanja', '.']","[0, 3, 4, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Tachantska cyrkej']
21,"['Alexandra', 'Maria', 'Lara']","[1, 2, 2]","['hsb', 'hsb', 'hsb']",['PER: Alexandra Maria Lara']
22,"['Rostlina', 'je', 'w', 'Europje', 'rozšěrjena', '.']","[0, 0, 0, 5, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Europje']
23,"['Nimo', 'toho', 'přełoži', 'tež', 'někotre', 'bajki', 'Lewa', 'Tolstoja', '.']","[0, 0, 0, 0, 0, 0, 1, 2, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Lewa Tolstoja']
24,"['Prjedy', 'słušeše', 'do', 'swójby', 'jěrowcowych', 'rostlinow', '(', ""''Hippocastanaceae"", ""''"", ')', '.']","[0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: jěrowcowych rostlinow']
25,"[""'"", ""''"", 'Ruzajewka', ""''"", ""'"", '(', ',', ',', ')', 'je', 'město', 'w', 'Ruskej', 'federaciji', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Ruskej federaciji']
26,"['Mina', 'Witkojc', '(', '1893–1975', ')']","[1, 2, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Mina Witkojc']
27,"['Brody', '(', ""''Brody"", ""''"", ';', '3.482', 'wob', '.']","[5, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Brody']
28,"['Ludwik', 'Lejzer', 'Zamenhof', '(', '*1859-†1917', ')']","[1, 2, 2, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Ludwik Lejzer Zamenhof']
29,"['Zwjazkowa', 'awtodróha', '4', 'Najězd', ""''Porchow"", ""''""]","[3, 4, 4, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Zwjazkowa awtodróha 4']
30,"['WEITERLEITUNG', 'Swobodna', 'demokratiska', 'strona']","[0, 3, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb']",['ORG: Swobodna demokratiska strona']
31,"['WEITERLEITUNG', 'Tachantska', 'cyrkej', 'swj.', 'Pětra']","[0, 3, 4, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Tachantska cyrkej swj. Pětra']
32,"['Słuša', 'ke', 'gmejnje', 'Hodźij', 'a', 'leži', '204', 'm', 'nad', 'mórskej', 'hładźinu', '.']","[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Hodźij']
33,"['Josip', 'Broz', 'Tito']","[1, 2, 2]","['hsb', 'hsb', 'hsb']",['PER: Josip Broz Tito']
34,"['Wyše', 'toho', 'přinošowaše', 'k', 'Smolerjowej', 'zběrce', 'delnjoserbskich', 'ludowych', 'spěwow', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Smolerjowej']
35,"['Leži', 'při', 'rěce', 'Nica', 'we', 'wuchodnym', 'předkraju', 'Uralskich', 'horin', 'w', 'Swjerdlowskej', 'oblasći', 'něhdźe', '100', 'kilometrow', 'juhowuchodnje', 'Jekaterinburga', '.']","[0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 5, 6, 0, 0, 0, 0, 5, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: Uralskich horin', 'LOC: Swjerdlowskej oblasći', 'LOC: Jekaterinburga']"
36,"['Stolica', 'je', 'město', 'Krakow', '.']","[5, 0, 0, 5, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: Stolica', 'LOC: Krakow']"
37,"['WEITERLEITUNG', 'Jan', 'Evangelista', 'Purkyně']","[0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']",['PER: Jan Evangelista Purkyně']
38,"['Bush', ',', 'George', 'W', '.']","[1, 2, 2, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['PER: Bush , George W .']"
39,"['Švabinský', ',', 'Max', '(', '1873–1962', ')']","[1, 2, 2, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['PER: Švabinský , Max']"
40,"['Lěsny', 'hróšik', '(', ""''Lathyrus"", 'sylvestris', ""''"", ')']","[5, 6, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Lěsny hróšik']
41,"['WEITERLEITUNG', 'Jewgenij', 'Aleksandrowič', 'Jewtušenko']","[0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']",['PER: Jewgenij Aleksandrowič Jewtušenko']
42,"['Centro', 'Federal', 'de', 'Educação', 'Tecnológica', 'Celso', 'Suckow', 'da', 'Fonseca']","[3, 4, 4, 4, 4, 4, 4, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Centro Federal de Educação Tecnológica Celso Suckow da Fonseca']
43,"['Sterling', 'Morrison', '(', '1965–1971', ')']","[1, 2, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Sterling Morrison']
44,"['Zwjazk', '90', '/', 'Zeleni', '47', '(', '30,3', '%', ')']","[3, 4, 4, 4, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Zwjazk 90 / Zeleni']
45,"['Zwjazk', '90', '/', 'Zeleni', '(', '5', ')']","[3, 4, 4, 4, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Zwjazk 90 / Zeleni']
46,"['Klóšter', 'Marijiny', 'doł']","[3, 4, 4]","['hsb', 'hsb', 'hsb']",['ORG: Klóšter Marijiny doł']
47,"['Wuchodnje', 'gmejny', 'běži', 'B', '96', '.']","[0, 0, 0, 3, 4, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: B 96']
48,"['Křesćansko-socialna', 'unija', 'w', 'Bayerskej']","[3, 4, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb']",['ORG: Křesćansko-socialna unija w Bayerskej']
49,"['WEITERLEITUNG', 'Zwjazkowa', 'awtodróha', '4']","[0, 3, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb']",['ORG: Zwjazkowa awtodróha 4']
50,"['Leža', 'tři', 'kilometry', 'sewjerowuchodnje', 'stareho', 'města', 'a', '270', 'm', 'nad', 'mórskej', 'hładźinu', 'na', 'sewjernym', 'boku', 'Lubijskeje', 'hory', '(', '448', 'm', ')', 'a', 'njedaloko', 'zwjazkoweje', 'dróhi', '6', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: Lubijskeje hory', 'ORG: zwjazkoweje dróhi 6']"
51,"['Wokrjes', 'Šwikawa', '(', 'Šwikawa', ')']","[5, 6, 0, 3, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: Wokrjes Šwikawa', 'ORG: Šwikawa']"
52,"['Leži', 'při', 'rěce', 'Barga', 'něhdźe', '120', 'kilometrow', 'wuchodnje', 'Krasnojarska', 'a', 'ma', 'něhdźe', 'dźesać', 'tysac', 'wobydlerjow', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Krasnojarska']
53,"[""'"", ""''"", 'Nowouralsk', ""''"", ""'"", '(', ')', 'je', 'město', 'w', 'aziskim', 'dźělu', 'Ruskeje', 'federacije', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 6, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: aziskim', 'LOC: Ruskeje federacije']"
54,"['Rěčnica', 'KPF', 'je', 'Sahra', 'Wagenknecht', '.']","[0, 0, 0, 1, 2, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Sahra Wagenknecht']
55,"[""'"", ""''"", 'Kurlowo', ""''"", ""'"", '(', ')', 'je', 'městačko', 'w', 'Ruskej', 'federaciji', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Ruskej federaciji']
56,"['mjeno', 'ruskeho', 'basnika', 'a', 'spisowaćela', ',', 'hlej', 'Michail', 'Jurjewič', 'Lermontow']","[0, 0, 0, 0, 0, 0, 0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Michail Jurjewič Lermontow']
57,"['Republikanska', 'strona', '(', 'Zjednoćene', 'staty', 'Ameriki', ')']","[3, 4, 4, 4, 4, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Republikanska strona ( Zjednoćene staty Ameriki )']
58,"['Zahrodna', 'popla', '(', 'Alcea', 'rosea', ')']","[5, 6, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Zahrodna popla']
59,"['Leži', 'južnje', 'Čorneho', 'Halštrowa', 'při', 'zwjazkowej', 'dróze', '96', '.']","[0, 0, 5, 6, 0, 3, 4, 4, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: Čorneho Halštrowa', 'ORG: zwjazkowej dróze 96']"
60,"['Piratska', 'strona', 'Němska']","[3, 4, 4]","['hsb', 'hsb', 'hsb']",['ORG: Piratska strona Němska']
61,"['Historiske', 'srjedźišćo', 'města', 'je', 'dźěl', 'Swětoweho', 'kulturneho', 'herbstwa', 'UNESCO', '.']","[0, 0, 0, 0, 0, 3, 4, 4, 4, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Swětoweho kulturneho herbstwa UNESCO']
62,"['Wysoki', 'komonc', '(', 'Melilotus', 'altissimus', ')']","[5, 6, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Wysoki komonc']
63,"['Rio', 'de', 'Janeiro', '-', '6', '029', '300', 'wobydlerjow']","[5, 6, 6, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Rio de Janeiro']
64,"['Putin', ',', 'Wladimir', 'Wladimirowič']","[1, 2, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']","['PER: Putin , Wladimir Wladimirowič']"
65,"['WEITERLEITUNG', 'Wladimir', 'Wolfowič', 'Žirinowskij']","[0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']",['PER: Wladimir Wolfowič Žirinowskij']
66,"['WEITERLEITUNG', 'Marina', 'Iwanowna', 'Cwjetajewa']","[0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']",['PER: Marina Iwanowna Cwjetajewa']
67,"[""'"", ""''"", 'Zawodoukowsk', ""''"", ""'"", '(', ""''Заводоуковск"", ""''"", ')', 'je', 'město', 'w', 'aziskim', 'dźělu', 'Ruskeje', 'federacije', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 6, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: aziskim', 'LOC: Ruskeje federacije']"
68,"['Leži', 'někak', 'wosomdźesać', 'kilometrow', 'sewjernje', 'Donjecka', 'a', 'ma', 'wjace', 'hač', 'šěsćdźesat', 'tysac', 'wobydlerjow', '.']","[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Donjecka']
69,"['Pasternak', ',', 'Boris', 'Leonidowič']","[1, 2, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']","['PER: Pasternak , Boris Leonidowič']"
70,"['Sowjetsk', '(', 'oblasć', 'Kaliningrad', ')', '(', 'němsce', ""''Tilsit"", ""''"", ')']","[3, 4, 4, 4, 4, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Sowjetsk ( oblasć Kaliningrad )']
71,"[""'"", ""''"", 'Mjednogorsk', ""''"", ""'"", '(', ')', 'je', 'město', 'w', 'Ruskej', 'federaciji', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Ruskej federaciji']
72,"['Tu', 'wuzběhuje', 'so', 'wosebje', 'literarno-historiska', 'studija', 'Jakub', 'Ćišinski“', ',', 'kotruž', 'napisa', 'k', 'pjećdźesatym', 'narodninam', 'basnika', '.']","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Jakub Ćišinski“']
73,"['Šahbaz', 'Bhatti', '(', '1968–2011', ')']","[1, 2, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Šahbaz Bhatti']
74,"['WEITERLEITUNG', 'Sowjetsk', '(', 'oblasć', 'Kaliningrad', ')']","[0, 3, 4, 4, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Sowjetsk ( oblasć Kaliningrad )']
75,"['WEITERLEITUNG', 'Irina', 'Wladimirowna', 'Odojewcewa']","[0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']",['PER: Irina Wladimirowna Odojewcewa']
76,"['Předsyda', 'je', 'Nick', 'Griffin', '.']","[0, 0, 1, 2, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Nick Griffin']
77,"['Pawoł', 'VI', '.', '(', '1963–1978', ')']","[1, 2, 2, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Pawoł VI .']
78,"['Nationaldemokratische', 'Partei', 'Deutschlands']","[3, 4, 4]","['hsb', 'hsb', 'hsb']",['ORG: Nationaldemokratische Partei Deutschlands']
79,"['WEITERLEITUNG', 'Noemi', '(', 'spěwarka', ')']","[0, 1, 2, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Noemi ( spěwarka )']
80,"['Leži', 'při', 'rěce', 'Tjukala', 'w', 'Omskej', 'oblasći', 'něhdźe', '120', 'kilometrow', 'sewjerozapadnje', 'Omska', 'Ma', 'něhdźe', 'dźesać', 'tysac', 'wobydlerjow', '.']","[0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: Omskej oblasći', 'LOC: Omska']"
81,"['Wjes', 'leži', 'juhowuchodnje', 'Rěčic', 'na', 'prawym', 'brjohu', 'Běłeho', 'Šepca', '.']","[0, 0, 0, 5, 0, 0, 0, 5, 6, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['LOC: Rěčic', 'LOC: Běłeho Šepca']"
82,"['WEITERLEITUNG', 'Zwjazk', '90', '/', 'Zeleni']","[0, 3, 4, 4, 4]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Zwjazk 90 / Zeleni']
83,"['Wšědna', 'kosyčka', '(', ""''Erodium"", 'cicutarium', ""''"", '(', 'L.', ')', ""L'Hér"", '.']","[5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Wšědna kosyčka']
84,"['Korla', 'Awgust', 'Kocor', '(', '1822–1904', ')', ',', 'wučer', ',', 'komponist', 'a', 'dirigent']","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['PER: Korla Awgust Kocor']
85,"['WEITERLEITUNG', 'Hala', 'nad', 'Solawu']","[0, 5, 6, 6]","['hsb', 'hsb', 'hsb', 'hsb']",['LOC: Hala nad Solawu']
86,"['WEITERLEITUNG', 'Jan', 'Evangelista', 'Purkyně']","[0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']",['PER: Jan Evangelista Purkyně']
87,"['Ma', '6079', 'wobydlerjow', 'a', 'přestrjeń', '16,91', 'km²', '.']","[0, 0, 0, 0, 0, 0, 3, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: km²']
88,"['WEITERLEITUNG', 'Boris', 'Jefimowič', 'Njemcow']","[0, 1, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb']",['PER: Boris Jefimowič Njemcow']
89,"['Alpski', 'sydrik', '(', ""''Galium"", 'anisophyllon', ""''"", ')']","[5, 6, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Alpski sydrik']
90,"['Čorna', 'aronija', '(', ""''Aronia"", 'melanocarpa', ""''"", '(', 'Michx', '.']","[3, 4, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['ORG: Čorna aronija']
91,"[""'"", ""''"", 'Mjelenki', ""''"", ""'"", '(', ')', 'je', 'městačko', 'w', 'Ruskej', 'federaciji', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Ruskej federaciji']
92,"['Lew', ""''Nikolajewič"", ""''"", 'Tolstoj', ')', '.']","[1, 2, 2, 2, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']","[""PER: Lew ''Nikolajewič '' Tolstoj""]"
93,"['Blok', ',', 'Aleksander', 'A', '.']","[1, 2, 2, 2, 2]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb']","['PER: Blok , Aleksander A .']"
94,"['Wosebje', 'za', 'čas', 'Weimarskeje', 'republiki', 'wustupowaše', 'we', 'wšelakich', 'funkcijach', 'za', 'prawa', 'Serbow', '.']","[0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Weimarskeje republiki']
95,"['Słuša', 'ke', 'gmejnje', 'Wulka', 'Dubrawa', 'a', 'leži', '150', 'm', 'nad', 'mórskej', 'hładźinu', '.']","[0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Wulka Dubrawa']
96,"[""'"", ""''"", 'Njewel', ""''"", ""'"", '(', ')', 'je', 'město', 'w', 'Ruskej', 'federaciji', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0]","['hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb', 'hsb']",['LOC: Ruskej federaciji']
