,tokens,ner_tags,langs,spans
42,"['Киров', 'облаçĕ', 'территорипе', 'юхать', '.']","[5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Киров облаçĕ']
43,"['Айхи', 'Геннадий', 'Николаевич']","[1, 2, 2]","['cv', 'cv', 'cv']",['PER: Айхи Геннадий Николаевич']
44,"['Иванов', 'Константин', 'Васильевич']","[1, 2, 2]","['cv', 'cv', 'cv']",['PER: Иванов Константин Васильевич']
45,"['Юханшыв', 'бассейнĕ', '—', 'Чулман', 'Атăл', '.']","[0, 0, 0, 5, 6, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Чулман Атăл']
46,"['Мишель', 'Константен', '—', ""''Жео"", 'Кассин', ""''""]","[1, 2, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Мишель Константен']
47,"['Характер', '—', 'çын', 'кăмăлĕ', '.']","[3, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Характер']
48,"['Çĕн', 'Çĕпĕр', 'облаçĕ', ',', 'Томск', 'облаçĕ', 'территорипе', 'юхать', '.']","[5, 6, 6, 0, 5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']","['LOC: Çĕн Çĕпĕр облаçĕ', 'LOC: Томск облаçĕ']"
49,"[""'"", ""''"", '«Чул', 'кĕпер»', ""''"", ""'"", '(', ')', '—', 'Рембрандт', 'хăйне', 'евĕр', 'пейзажĕ', ',', 'çутă-ĕмĕлкене', 'усă', 'курса', 'ĕçленĕ', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Рембрандт']
50,"['Киров', 'облаçĕ', 'территорипе', 'юхать', '.']","[5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Киров облаçĕ']
51,"[""''"", ""'"", ""''"", 'апо́стол', ""''"", ""'"", '(', '—', 'элчĕ', ',', ')', '—', 'Иисус', 'Христосăн', 'вĕренекенĕсем', 'тата', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Иисус Христосăн']
52,"['Либреттăна', 'Борис', 'Чиндыков', 'хатĕрленĕ', '.']","[0, 1, 2, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['PER: Борис Чиндыков']
53,"['Талибансем', 'ÇАПУ', 'çарне', 'хирĕç', 'партизанла', 'вăрçаççĕ', '.']","[0, 3, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: ÇАПУ']
54,"['Кушан', 'патшалăхĕ', 'арканса', 'кайнă', 'хыççăн', 'темиçе', 'пая', 'пайланнă', '.']","[3, 4, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Кушан патшалăхĕ']
55,"['перенаправление', 'Тĕп', 'йĕрлев', 'тытăмĕ']","[0, 3, 4, 4]","['cv', 'cv', 'cv', 'cv']",['ORG: Тĕп йĕрлев тытăмĕ']
56,"['Краснодар', 'Ен', 'территорипе', 'юхать', '.']","[5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Краснодар Ен']
57,"['Медведев', 'Дмитрий', 'Анатольевич', '(', '2000—2001', ',', '2002—2008', ')']","[1, 2, 2, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Медведев Дмитрий Анатольевич']
58,"['Утрава', 'Ф.Ф.Беллинсгаузен', 'ят', 'панă', ',', 'çырса', 'кăтартнă', '.']","[0, 1, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Ф.Ф.Беллинсгаузен']
59,"['Цумадин', 'районĕ', '(', 'Агвали', 'сали', ')']","[5, 6, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Цумадин районĕ']
60,"['Таса', 'астулăн', 'Монархĕ', 'тата', 'Суверенĕ', ',']","[3, 4, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Таса астулăн']
61,"['Кембридж', 'университечĕн', 'Тринити', 'колледжĕнче', 'вĕренсе', 'тухнă', ',', 'тухтăр', 'степенне', 'хӳтĕленĕ', '.']","[3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Кембридж университечĕн']
62,"['перенаправление', 'Элĕкри', 'халăх', 'театрĕ']","[0, 3, 4, 4]","['cv', 'cv', 'cv', 'cv']",['ORG: Элĕкри халăх театрĕ']
63,"['Юханшыв', 'бассейнĕ', '—', 'Чулман', 'Атăл', '.']","[0, 0, 0, 5, 6, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Чулман Атăл']
64,"['Скумин', 'В.', 'А', '.', 'Искусство', 'психотренинга', 'и', 'здоровье', '.']","[1, 2, 2, 2, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Скумин В. А .']
65,"['Артамонов', 'М.И', '.', '«Хасарсен', 'историйĕ»']","[1, 2, 2, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['PER: Артамонов М.И .']
66,"[""'"", ""''"", 'Моцарт', 'Вольфганг', 'Амадей', ""''"", ""'"", '(', '1756—1791', ')', '—', 'композитор', '.']","[0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Моцарт Вольфганг Амадей']
67,"['Санкт-Петербург', 'патшалăх', 'университечĕ']","[3, 4, 4]","['cv', 'cv', 'cv']",['ORG: Санкт-Петербург патшалăх университечĕ']
68,"['РФ', 'Ертӳçĕлĕх', 'çумĕнчи', 'Финансă', 'Академийĕ']","[3, 4, 4, 4, 4]","['cv', 'cv', 'cv', 'cv', 'cv']",['ORG: РФ Ертӳçĕлĕх çумĕнчи Финансă Академийĕ']
69,"['Краснодар', 'Ен', 'территорипе', 'юхать', '.']","[5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Краснодар Ен']
70,"['Хантă-Манси', 'автономи', 'тăрăхĕ', '—', 'Югра', 'территорипе', 'юхать', '.']","[5, 6, 6, 6, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Хантă-Манси автономи тăрăхĕ — Югра']
71,"['Чăваш', 'патшалăх', 'универститечĕн', 'историпе', 'филологи', 'факультетне', 'пĕтернĕ', '.']","[3, 4, 4, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Чăваш патшалăх универститечĕн']
72,"['Юханшыв', 'Обь', 'юханшывăн', 'сылтăм', 'çыранĕпе', 'вăрринчен', '918', 'км', 'юхса', 'кĕрет', '.']","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Обь']
73,"['Кунта', 'вĕсене', 'Кăтра', 'Паттăр', 'ертсе', 'килнĕ', '.']","[0, 0, 1, 2, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Кăтра Паттăр']
74,"['Путин', 'Владимир', 'Владимирович']","[1, 2, 2]","['cv', 'cv', 'cv']",['PER: Путин Владимир Владимирович']
75,"['Милан', '(', 'футбол', 'клубĕ', ')']","[3, 4, 4, 4, 4]","['cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Милан ( футбол клубĕ )']
76,"['Архангельск', 'облаçĕ', 'территорипе', 'юхать', '.']","[5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Архангельск облаçĕ']
77,"['Хула', 'Куйбышев', 'чукун', 'çулĕн', 'çыххи', 'шутланать', '.']","[0, 3, 4, 4, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Куйбышев чукун çулĕн']
78,"['(', 'Арап', 'чĕлхинчен', 'транскрипцилесе', 'çырнă]]', ')']","[0, 3, 4, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Арап чĕлхинчен']
79,"['Азербайджансем', '—', '93', 'çын', '(', '0,78', '%', ')']","[3, 0, 0, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Азербайджансем']
80,"['Раççей', 'Федерацийĕн', 'Тĕп', 'Банкĕ']","[3, 4, 4, 4]","['cv', 'cv', 'cv', 'cv']",['ORG: Раççей Федерацийĕн Тĕп Банкĕ']
81,"['Бичурин', 'Н.Я', '.', ',', '«Собрание', 'сведений»', '.']","[1, 2, 2, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Бичурин Н.Я .']
82,"[""'"", ""''"", '«Пĕчĕк', 'тиккĕ»', ""''"", ""'"", '(', ')', '—', 'Антуан', 'де', 'Сент-Экзюперин', 'чаплă', 'ĕçĕ', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Антуан де Сент-Экзюперин']
83,"['«Звёздный', 'человек»', '(', 'А.', 'пирки', ')', '.']","[0, 0, 0, 1, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: А.']
84,"['перенаправление', 'Чăваш', 'патшалăх', 'К.', 'В.', 'Иванов', 'ячĕллĕ', 'академи', 'драма', 'театрĕ']","[0, 3, 4, 4, 4, 4, 4, 4, 4, 4]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Чăваш патшалăх К. В. Иванов ячĕллĕ академи драма театрĕ']
85,"['Пенза', 'облаçĕ', ',', 'Мордва', 'Республики', ',', 'Чулхула', 'облаçĕ', 'территорипе', 'юхать', '.']","[5, 6, 0, 5, 6, 0, 5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']","['LOC: Пенза облаçĕ', 'LOC: Мордва Республики', 'LOC: Чулхула облаçĕ']"
86,"['Совет', 'Союзĕн', 'Маршалĕ', '(', '8.05.1959', ')']","[1, 2, 2, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Совет Союзĕн Маршалĕ']
87,"['Томск', 'облаçĕ', ',', 'Красноярск', 'Ен', 'территорипе', 'юхать', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']","['LOC: Томск облаçĕ', 'LOC: Красноярск Ен']"
88,"['Ши', 'Лэ', 'вилет', '.']","[1, 2, 0, 0]","['cv', 'cv', 'cv', 'cv']",['PER: Ши Лэ']
89,"['Ямал-Ненец', 'автономлă', 'тăрăхĕ', 'территорипе', 'юхать', '.']","[5, 6, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Ямал-Ненец автономлă тăрăхĕ']
90,"['Фаина', 'Раневская', '—', ""''Золушкăн"", 'усрав', 'амăшĕ', ""''""]","[1, 2, 0, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['PER: Фаина Раневская']
91,"['Иммануил', 'Кант', 'ячĕллĕ', 'Раççей', 'патшалăх', 'университечĕ']","[3, 4, 4, 4, 4, 4]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Иммануил Кант ячĕллĕ Раççей патшалăх университечĕ']
92,"['Ямал-Ненец', 'автономлă', 'тăрăхĕ', 'территорипе', 'юхать', '.']","[5, 6, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Ямал-Ненец автономлă тăрăхĕ']
93,"['Манчестер', 'Юнайтед', 'ФК']","[3, 4, 4]","['cv', 'cv', 'cv']",['ORG: Манчестер Юнайтед ФК']
94,"['Хантă-Манси', 'автономи', 'тăрăхĕ', '—', 'Югра', 'территорипе', 'юхать', '.']","[5, 6, 6, 6, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Хантă-Манси автономи тăрăхĕ — Югра']
95,"['перенаправление', 'Мари', 'Элĕн', 'Чăваш', 'Утар', 'районĕ']","[0, 5, 6, 6, 6, 6]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Мари Элĕн Чăваш Утар районĕ']
96,"['Георгий', 'Жжёнов', '—', ""''Терёша"", ""''""]","[1, 2, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['PER: Георгий Жжёнов']
97,"['Архангельск', 'облаçĕ', ',', 'Коми', 'Республики', 'территорипе', 'юхать', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']","['LOC: Архангельск облаçĕ', 'LOC: Коми Республики']"
98,"['перенаправление', 'Чăваш', 'патшалăх', 'оперăпа', 'балет', 'театрĕ']","[0, 3, 4, 4, 4, 4]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Чăваш патшалăх оперăпа балет театрĕ']
99,"['Ăренпур', 'облаçĕ', 'территорипе', 'юхать', '.']","[5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Ăренпур облаçĕ']
100,"['Беринг', 'Витус', 'Ионассен']","[1, 2, 2]","['cv', 'cv', 'cv']",['PER: Беринг Витус Ионассен']
101,"['Юханшыв', 'бассейнĕ', '—', 'Чулман', 'Атăл', '.']","[0, 0, 0, 5, 6, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Чулман Атăл']
102,"['перенаправление', 'Каçпи', 'кĕçĕн', 'тĕсĕ']","[0, 3, 4, 4]","['cv', 'cv', 'cv', 'cv']",['ORG: Каçпи кĕçĕн тĕсĕ']
103,"['Тĕнчери', 'олимп', 'комитетне', 'никĕсленĕ', '.']","[3, 4, 4, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Тĕнчери олимп комитетне']
104,"['Гумилёв', 'Л.', 'Н', '.', '«История', 'народа', 'Хунну»', '.']","[3, 4, 4, 4, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Гумилёв Л. Н .']
105,"['Толстой', 'Лев', 'Николаевич', '.']","[1, 2, 2, 0]","['cv', 'cv', 'cv', 'cv']",['PER: Толстой Лев Николаевич']
106,"['Сун', '(', 'патшалăх', ')']","[3, 4, 4, 4]","['cv', 'cv', 'cv', 'cv']",['ORG: Сун ( патшалăх )']
107,"['Рота', 'командирĕ', 'пулса', 'çапăçнă', '.']","[3, 0, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['ORG: Рота']
108,"['Алтай', 'Ен', 'территорипе', 'юхать', '.']","[5, 6, 0, 0, 0]","['cv', 'cv', 'cv', 'cv', 'cv']",['LOC: Алтай Ен']
109,"['перенаправление', 'Ильинский', 'Игорь', 'Владимирович']","[0, 1, 2, 2]","['cv', 'cv', 'cv', 'cv']",['PER: Ильинский Игорь Владимирович']
